Distance_cm,Time_0_s,Time_5_s,Time_15_s,Time_20_s,Time_30_s,Time_60_s
0.0,25.110808908126103,43.318112212622914,65.27699595657613,73.30137914346925,86.28255178145369,113.12520681414233
0.1,25.110808908126103,43.318112212622914,65.27699595657613,73.30137914346925,86.28255178145369,113.12520681414233
0.2,25.099187932563574,42.1381225540202,63.42120349277751,71.28970841226979,84.07959314912762,110.67528885480806
0.30000000000000004,25.08239915002018,40.07360138646555,60.06445033418875,67.62870065306686,80.04224480542365,106.14684709407152
0.4,25.063560354313072,37.5088033294212,55.71303836350038,62.842550173400326,74.71181301403999,100.09598454933419
0.5,25.045527921258746,34.82008630737411,50.89981646342102,57.488447946357496,68.66910225073478,93.12394483790723
0.6000000000000001,25.03028643592137,32.309713054203414,46.095119081084576,52.06541721020444,62.44177027159776,85.78389716235918
0.7000000000000001,25.01871550473346,30.16984724232596,41.648792259008516,46.953846138494946,56.441915486677125,78.51740716125889
0.8,25.010748853197217,28.48072736838744,37.77165756723664,42.39449042092104,50.94302215043627,71.63008766856821
0.9,25.005744310045245,27.23393733174905,34.54937008982844,38.50018590207189,46.08970587766126,65.29998165710317
1.0,25.002864355562362,26.366454047557596,31.974362364296105,35.28616883211089,41.92632486997673,59.60483594641064
1.1,25.00133427843495,25.79286181667065,29.98177607201463,32.7050147350865,38.430589296900244,54.55447676401948
1.2000000000000002,25.000070184489534,25.428547075857598,28.479981069220113,30.676807147729736,35.542848361318285,50.11902981808956
1.3,25.00005170694729,25.223989963599948,27.39357506688154,29.132357805083515,33.20889118565383,46.27086633183344
1.4000000000000001,25.000051513592535,25.113671593162323,26.62062836602647,27.971112607002347,31.337862692596996,42.94190240855663
1.5,25.000051511134735,25.056649695194523,26.080133897641115,27.109544878402232,29.851026161493554,40.07199073073309
1.6,25.00005151110953,25.02845248414231,25.708850520095062,26.47906465661821,28.68030853387584,37.607330884267434
1.7000000000000002,25.000051511109113,25.01513276656577,25.458395922105957,26.024162742283774,27.767245979005217,35.499491918390966
1.8,25.000051511109106,25.009129110690395,25.292540116597724,25.700638088700064,27.062081149011224,33.70476432601195
1.9000000000000001,25.000051511109106,25.006549013643017,25.184744188606082,25.473890845106695,26.522910996076554,32.18369982113806
2.0,25.000051511109106,25.005492243235604,25.115997288944115,25.317309335531434,26.114849622861072,30.900760614890242
2.1,25.000051511109106,25.00507974655696,25.07298370781236,25.21078841225379,25.809201687536916,29.824032174269522
2.2,25.000051511109106,25.00492626544589,25.046584337179475,25.139409787078804,25.582656086749328,28.924971672020305
2.3000000000000003,25.000051511109106,25.004871803688786,25.030693007721453,25.09230211811139,25.4165147532496,28.17817541761222
2.4000000000000004,25.000051511109106,25.004853360957437,25.02131184121147,25.06168508113817,25.29597142523186,27.56115563358756
2.5,25.000051511109106,25.004847395859844,25.015881326937745,25.04209010854743,25.2094525218619,27.054121572519765
2.6,25.000051511109106,25.00484555135467,25.012799047738564,25.02974210658704,25.14802829328241,26.639763008548776
2.7,25.000051511109106,25.004845005525446,25.011083920259857,25.02208145625938,25.104898180926146,26.30303608565549
2.8000000000000003,25.000051511109106,25.0048448507877,25.010148524687033,25.01740357872816,25.074950439738377,26.030952681812487
2.9000000000000004,25.000051511109106,25.004844808746977,25.009648956924018,25.01459363434665,25.05439288403894,25.812375071874442
3.0,25.000051511109106,25.00484479790953,25.009388477693406,25.012935783468553,25.040449270504894,25.637817900494955
3.1,25.000051511109106,25.004844795731103,25.009257351461585,25.0119791861121,25.031114331124662,25.49925942914073
3.2,25.000051511109106,25.00484479723679,25.00919633173658,25.011446007710123,25.024959729919253,25.38996379163482
3.3000000000000003,25.000051511109106,25.004844804902298,25.009175192554782,25.0111697371882,25.020983102609833,25.30431565407991
3.4000000000000004,25.000051511109106,25.004844831853248,25.009180624624282,25.011054867241,25.018492692184918,25.237668285387375
3.5,25.000051511109106,25.004844920941636,25.009209881864546,25.01105131335627,25.01702076393408,25.186205649270356
3.6,25.000051511109106,25.004845201996446,25.009267973105047,25.011138827182393,25.01625983933222,25.146818762880198
3.7,25.000051511109106,25.004846047952316,25.00936712448167,25.011318121328575,25.016016726451785,25.11699626002664
3.8000000000000003,25.000051511109106,25.004848474359964,25.009527844342948,25.01160653381762,25.016180276405926,25.094728874897296
3.9000000000000004,25.000051511109106,25.004855098850243,25.009781333781817,25.012036911516258,25.016699729711,25.078427458502453
4.0,25.000051511109106,25.004872299441033,25.010173323003038,25.012659095811674,25.017571449788157,25.066854211253798
4.1000000000000005,25.000051511109106,25.004914757663816,25.010769822900485,25.01354410807323,25.018832864292474,25.059067180481236
4.2,25.000051511109106,25.005014425137038,25.01166601189827,25.014792131992785,25.020563793725117,25.05437901350705
4.3,25.000051511109106,25.00523726304345,25.013001084948343,25.016547278907982,25.02289767044578,25.052333197058175
4.4,25.00005151110922,25.005713489580167,25.01498582920844,25.019026474429957,25.02605015738269,25.05270654479069
4.5,25.00005151111624,25.006693088783532,25.017960209585464,25.022581212807392,25.03038543103709,25.05556143630016
4.6000000000000005,25.000051511899454,25.00865811683562,25.022529868034706,25.02784508436685,25.036578246229205,25.061415596163066
4.7,25.0000515335561,25.012573560829548,25.029904480336153,25.036099793939353,25.046018034834574,25.071700435716224
4.800000000000001,25.000054803813224,25.021222625673126,25.043827235017684,25.05136450831937,25.063121528761165,25.091466064764855
4.9,25.000054803813224,25.021222625673126,25.043827235017684,25.05136450831937,25.063121528761165,25.091466064764855
